,titles,descriptions,authors,urls
0,Computing the 2-adic complexity of two classes of Ding-Helleseth generalized cyclotomic sequences of period of twin prime products.,This paper contributes to compute 2-adic complexity of two classes ofDing-Helleseth generalized cyclotomic sequences. Results show that 2-adiccomplexity of these sequences is good enough to resist the attack by therational approximation algorithm.," Ming Yan, Tongjiang Yan, Yu Li",http://arxiv.org/abs/1912.06134
1,L3DOR: Lifelong 3D Object Recognition.,"3D object recognition has been widely-applied. However, moststate-of-the-arts are facing with a fixed recognition task set, which cannotwell tackle the new coming data with incremental tasks as human ourselves.Meanwhile, the performance of most state-of-the-art lifelong learning modelscan be deteriorated easily on previously learned recognition tasks, due to theexisting of unordered, large-scale, and irregular 3D geometry data. To addressthis challenge, in this paper, we propose a Lifelong 3D Object Recognition(i.e., L3DOR framework, which can consecutively learn new 3D object recognitiontasks via imitating ""human learning"". Specifically, the core idea of ourproposed L3DOR is to factorize PointNet in a perspective of lifelong learning,while capturing and storing the shared point-knowledge in a perspective oflayer-wise tensor factorization architecture. To further transfer thetask-specific knowledge from previous tasks to the new coming recognition task,a memory attention mechanism is proposed to connect the current task withrelevant previously tasks, which can effectively prevent catastrophicforgetting via soft-transferring previous knowledge. To our best knowledge,this is the first work about using lifelong learning to handle 3D objectrecognition task without model fine-tuning or retraining. Further, our L3DORcan also be extended to other backbone network (e.g., PointNet++). To the end,comparisons on several point cloud datasets validate that our L3DOR model canreduce averaged 1.68~3.36 times parameters for the overall model, withoutsacrificing recognition accuracy of each task."," Yuyang Liu, Yang Cong, Gan Sun",http://arxiv.org/abs/1912.06135
2,Calibrated model-based evidential clustering using bootstrapping.,"Evidential clustering is an approach to clustering in whichcluster-membership uncertainty is represented by a collection ofDempster-Shafer mass functions forming an evidential partition. In this paper,we propose to construct these mass functions by bootstrapping finite mixturemodels. In the first step, we compute bootstrap percentile confidence intervalsfor all pairwise probabilities (the probabilities for any two objects to belongto the same class). We then construct an evidential partition such that thepairwise belief and plausibility degrees approximate the bounds of theconfidence intervals. This evidential partition is calibrated, in the sensethat the pairwise belief-plausibility intervals contain the true probabilities""most of the time"", i.e., with a probability close to the defined confidencelevel. This frequentist property is verified by simulation, and the practicalapplicability of the method is demonstrated using several real datasets.", Thierry Denoeux,http://arxiv.org/abs/1912.06137
3,ABOUT ML: Annotation and Benchmarking on Understanding and Transparency of Machine Learning Lifecycles.,"We present the ""Annotation and Benchmarking on Understanding and Transparencyof Machine Learning Lifecycles"" (ABOUT ML) project as an initiative tooperationalize ML transparency and work towards a standard ML documentationpractice. We make the case for the project&apos;s relevance and effectiveness inconsolidating disparate efforts across a variety of stakeholders, as well asbringing in the perspectives of currently missing voices that will be valuablein shaping future conversations. We describe the details of the initiative andthe gaps we hope this project will help address."," Inioluwa Deborah Raji, Jingying Yang",http://arxiv.org/abs/1912.06166
4,Awareness in Practice: Tensions in Access to Sensitive Attribute Data for Antidiscrimination.,"Organizations cannot address demographic disparities that they cannot see.Recent research on machine learning and fairness has emphasized that awarenessof sensitive attributes, such as race and sex, is critical to the developmentof interventions. However, on the ground, the existence of these data cannot betaken for granted.</p><p>This paper uses the domains of employment, credit, and healthcare in theUnited States to surface conditions that have shaped the availability ofsensitive attribute data. For each domain, we describe how and when privatecompanies collect or infer sensitive attribute data for antidiscriminationpurposes. An inconsistent story emerges: Some companies are required by law tocollect sensitive attribute data, while others are prohibited from doing so.Still others, in the absence of legal mandates, have determined that collectionand imputation of these data are appropriate to address disparities.</p><p>This story has important implications for fairness research and its futureapplications. If companies that mediate access to life opportunities are unableor hesitant to collect or infer sensitive attribute data, then proposedtechniques to detect and mitigate bias in machine learning models might neverbe implemented outside the lab. We conclude that today&apos;s legal requirements andcorporate practices, while highly inconsistent across domains, offer lessonsfor how to approach the collection and inference of sensitive data inappropriate circumstances. We urge stakeholders, including machine learningpractitioners, to actively help chart a path forward that takes both policygoals and technical needs into account."," Miranda Bogen, Aaron Rieke, Shazeda Ahmed",http://arxiv.org/abs/1912.06171
5,Coevolution of Generative Adversarial Networks.,"Generative adversarial networks (GAN) became a hot topic, presentingimpressive results in the field of computer vision. However, there are stillopen problems with the GAN model, such as the training stability and thehand-design of architectures. Neuroevolution is a technique that can be used toprovide the automatic design of network architectures even in large searchspaces as in deep neural networks. Therefore, this project proposes COEGAN, amodel that combines neuroevolution and coevolution in the coordination of theGAN training algorithm. The proposal uses the adversarial characteristicbetween the generator and discriminator components to design an algorithm usingcoevolution techniques. Our proposal was evaluated in the MNIST dataset. Theresults suggest the improvement of the training stability and the automaticdiscovery of efficient network architectures for GANs. Our model also partiallysolves the mode collapse problem."," Victor Costa, Nuno Louren&#xe7;o, Penousal Machado",http://arxiv.org/abs/1912.06172
6,Training without training data: Improving the generalizability of automated medical abbreviation disambiguation.,"Abbreviation disambiguation is important for automated clinical noteprocessing due to the frequent use of abbreviations in clinical settings.Current models for automated abbreviation disambiguation are restricted by thescarcity and imbalance of labeled training data, decreasing theirgeneralizability to orthogonal sources. In this work we propose a novel dataaugmentation technique that utilizes information from related medical concepts,which improves our model&apos;s ability to generalize. Furthermore, we show thatincorporating the global context information within the whole medical note (inaddition to the traditional local context window), can significantly improvethe model&apos;s representation for abbreviations. We train our model on a publicdataset (MIMIC III) and test its performance on datasets from different sources(CASI, i2b2). Together, these two techniques boost the accuracy of abbreviationdisambiguation by almost 14% on the CASI dataset and 4% on i2b2."," Marta Skreta, Aryan Arbabi, Jixuan Wang, Michael Brudno",http://arxiv.org/abs/1912.06174
7,Investigating the effectiveness of web adblockers.,"We investigate adblocking filters and the extent to which websites andadvertisers react when their content is impacted by these filters. We collecteddata daily from the Alexa Top-5000 web sites for 120 days, and from specificsites that newly appeared in filter lists for 140 days. By evaluating how longa filter rule triggers on a website, we can gauge how long it remainseffective. We matched websites with both a regular adblocking filter list(EasyList) and with a specialized filter list that targets anti-adblockinglogic (Nano Defender).</p><p>From our data, we observe that the effectiveness of the EasyList adblockingfilter decays a modest 0.13\% per day, and after around 80 days seems tostabilize. We found no evidence for any significant decay in effectiveness ofthe more specialized, but less widely used, anti-adblocking removal filters."," Clayton Drazner, Nikola &#x110;uza, Hugo Jonker, Dan S. Wallach",http://arxiv.org/abs/1912.06176
8,COEGAN: Evaluating the Coevolution Effect in Generative Adversarial Networks.,"Generative adversarial networks (GAN) present state-of-the-art results in thegeneration of samples following the distribution of the input dataset. However,GANs are difficult to train, and several aspects of the model should bepreviously designed by hand. Neuroevolution is a well-known technique used toprovide the automatic design of network architectures which was recentlyexpanded to deep neural networks.</p><p>COEGAN is a model that uses neuroevolution and coevolution in the GANtraining algorithm to provide a more stable training method and the automaticdesign of neural network architectures. COEGAN makes use of the adversarialaspect of the GAN components to implement coevolutionary strategies in thetraining algorithm. Our proposal was evaluated in the Fashion-MNIST and MNISTdataset. We compare our results with a baseline based on DCGAN and also withresults from a random search algorithm. We show that our method is able todiscover efficient architectures in the Fashion-MNIST and MNIST datasets. Theresults also suggest that COEGAN can be used as a training algorithm for GANsto avoid common issues, such as the mode collapse problem."," Victor Costa, Nuno Louren&#xe7;o, Jo&#xe3;o Correia, Penousal Machado",http://arxiv.org/abs/1912.06180
9,Learning Effective Visual Relationship Detector on 1 GPU.,"We present our winning solution to the Open Images 2019 Visual Relationshipchallenge. This is the largest challenge of its kind to date with nearly 9million training images. Challenge task consists of detecting objects andidentifying relationships between them in complex scenes. Our solution hasthree stages, first object detection model is fine-tuned for the challengeclasses using a novel weight transfer approach. Then, spatio-semantic andvisual relationship models are trained on candidate object pairs. Finally,features and model predictions are combined to generate the final relationshipprediction. Throughout the challenge we focused on minimizing the hardwarerequirements of our architecture. Specifically, our weight transfer approachenables much faster optimization, allowing the entire architecture to betrained on a single GPU in under two days. In addition to efficientoptimization, our approach also achieves superior accuracy winning first placeout of over 200 teams, and outperforming the second place team by over $5\%$ onthe held-out private leaderboard."," Yichao Lu, Cheng Chang, Himanshu Rai, Guangwei Yu, Maksims Volkovs",http://arxiv.org/abs/1912.06185
